ir_level;red_level;temperature
39473;39269;36.66666667
39475;39269;36.66666667
39480;39270;36.66666667
39491;39261;36.66666667
39492;39277;37.27777778
39499;39277;37.33333333
39499;39284;37.33333333
39498;39271;37.38888889
39515;39257;37.44444444
39523;39292;37.72222222
39528;39286;37.77777778
39531;39282;38.22222222
39534;39284;37.05555556
39548;39290;37.05555556
39554;39276;37.11111111
39548;39293;36.55555556
39564;39291;36.55555556
39586;39285;36.61111111
39584;39302;36.61111111
39609;39295;36.61111111
39608;39288;36.66666667
39611;39291;36.66666667
39589;39282;36.83333333
39559;39252;36.88888889
39525;39231;36.88888889
39475;39194;36.88888889
39400;39154;37.72222222
39319;39128;37.77777778
39238;39097;38.22222222
39155;39043;37.05555556
39074;39014;37.05555556
39009;38966;36.88888889
38959;38965;36.94444444
38897;38950;36.94444444
38860;38908;37
38824;38905;37
38787;38881;37
38770;38884;37.11111111
38760;38868;37.16666667
38742;38858;37.72222222
38725;38850;37.77777778
38711;38834;38.22222222
38708;38836;37.05555556
38710;38825;37.05555556
38698;38818;36.88888889
38683;38824;36.94444444
38680;38836;36.94444444
38658;38844;37
38674;38839;37
38685;38836;37
38703;38841;37.11111111
38708;38837;37.16666667
38730;38838;36.94444444
38732;38844;36.94444444
38749;38873;36.94444444
38745;38855;37
38734;38862;37
38740;38839;36.88888889
38754;38839;36.94444444
38755;38844;36.94444444
38743;38834;37
38756;38822;37
38751;38831;37
38739;38828;37.11111111
38740;38820;37.11111111
38742;38814;37.11111111
38737;38818;37.11111111
38727;38826;37.11111111
38734;38815;36.55555556
38742;38812;36.55555556
38730;38823;36.61111111
38752;38821;36.61111111
38759;38830;36.61111111
38775;38806;36.66666667
38777;38832;36.66666667
38778;38828;36.83333333
38796;38817;36.88888889
38793;38818;36.88888889
38812;38839;36.88888889
38822;38843;
