ir_level;red_level;temperature
38891;38867;36.61111111
38910;38848;36.61111111
38907;38880;36.61111111
38929;38847;36.83333333
38941;38870;36.88888889
38953;38870;37.22222222
38966;38875;37.22222222
38976;38874;37.22222222
38985;38883;37.27777778
38996;38878;37.33333333
38993;38886;37.38888889
39009;38867;37.44444444
39018;38888;37.5
39021;38897;35.77777778
39025;38897;35.94444444
39044;38881;36
39038;38884;36.22222222
39054;38888;36.22222222
39056;38884;36.33333333
39070;38894;36.44444444
39099;38914;36.5
39088;38907;36.55555556
39098;38913;36.55555556
39095;38908;36.55555556
39098;38910;36.61111111
39114;38897;36.61111111
39085;38906;36.61111111
39072;38897;36.66666667
39002;38867;36.83333333
38952;38833;36.88888889
38875;38795;36.88888889
38801;38742;36.88888889
38686;38716;36.94444444
38597;38654;36.94444444
38488;38623;37
38394;38576;37
38321;38535;37
38240;38498;37
38174;38485;37
38114;38451;37
38096;38427;37.05555556
38047;38427;37.05555556
38013;38418;37.11111111
37994;38398;37.16666667
37991;38391;37.22222222
37976;38401;37.22222222
37966;38390;37.22222222
37944;38374;37.27777778
37954;38369;37.33333333
37931;38380;37.38888889
37934;38356;37.44444444
37927;38365;37.5
37947;38373;35.77777778
37974;38381;35.94444444
37994;38381;36
38001;38393;36.22222222
38037;38399;36.77777778
38072;38412;36.77777778
38101;38424;36.83333333
38115;38432;36.83333333
38141;38432;36.88888889
38142;38442;36.88888889
38160;38450;36.77777778
38183;38454;36.77777778
38170;38453;36.83333333
38176;38455;36.83333333
38176;38451;36.88888889
38185;38452;36.88888889
38188;38440;36.88888889
38185;38449;36.94444444
38173;38439;36.94444444
38172;38434;37
38173;38439;37
38193;38449;37
38194;38442;37
38201;38462;37
38218;38453;37
38222;38453;37.05555556
38247;38469;37.05555556
38261;38469;37.11111111
