ir_level;red_level;temperature
38138;38262;36.44444444
38133;38268;36.61111111
38133;38269;36.61111111
38122;38267;36.61111111
38127;38268;36.83333333
38108;38253;36.88888889
38109;38259;36.88888889
38125;38237;36.88888889
38125;38249;36.94444444
38117;38249;36.94444444
38147;38255;37
38140;38256;37.27777778
38169;38267;36.83333333
38164;38252;36.88888889
38173;38265;36.88888889
38198;38258;36.88888889
38193;38268;36.94444444
38216;38257;36.94444444
38237;38277;37
38250;38292;37
38258;38297;37
38254;38306;37
38284;38304;37
38309;38307;37
38303;38303;37.05555556
38326;38319;37.05555556
38329;38319;37.11111111
38349;38324;37.05555556
38380;38326;37.22222222
38366;38330;37.27777778
38372;38331;37.33333333
38390;38349;37.38888889
38405;38347;37.44444444
38403;38357;37.5
38426;38341;35.77777778
38418;38344;35.94444444
38451;38342;36
38458;38354;36.22222222
38466;38362;36.22222222
38492;38359;36.33333333
38491;38369;36.44444444
38502;38361;36.5
38513;38369;36.55555556
38530;38363;36.55555556
38545;38391;36.55555556
38551;38389;36.66666667
38555;38390;36.88888889
38571;38381;36.94444444
38586;38393;36.94444444
38600;38392;37
38610;38395;37
38624;38388;37
38643;38398;36.77777778
38654;38412;36.77777778
38646;38411;36.77777778
38655;38417;36.83333333
38684;38422;37.33333333
38694;38415;37.38888889
38688;38429;37.44444444
38697;38404;37.5
38684;38403;35.77777778
38657;38373;35.94444444
38616;38362;36
38545;38327;36.61111111
38482;38293;36.61111111
38430;38259;36.61111111
38355;38232;36.83333333
38286;38207;36.88888889
