ir_level;red_level;temperature
38030;38067;37.11111111
38037;38071;37.11111111
38044;38068;37.16666667
38089;38092;37.22222222
38089;38080;37.22222222
38099;38082;37.22222222
38120;38091;37.27777778
38143;38093;37.33333333
38132;38102;37.38888889
38137;38102;37.44444444
38126;38078;37.5
38133;38081;35.77777778
38145;38100;35.94444444
38136;38083;36
38130;38085;36.22222222
38125;38068;36.22222222
38121;38079;36.33333333
38123;38074;36.44444444
38113;38067;36.5
38142;38071;37.33333333
38137;38075;37.38888889
38135;38073;37.44444444
38142;38061;37.5
38162;38072;35.77777778
38151;38071;35.94444444
38175;38070;36
38201;38070;36.22222222
38210;38072;36.22222222
38217;38086;36.33333333
38227;38100;36.44444444
38242;38090;36.61111111
38266;38072;36.61111111
38275;38093;36.61111111
38272;38111;36.83333333
38289;38105;36.88888889
38298;38106;36.88888889
38305;38114;36.88888889
38322;38108;36.83333333
38332;38123;36.88888889
38341;38114;36.88888889
38363;38130;36.88888889
38367;38121;36.94444444
38370;38131;36.94444444
38380;38134;37
38393;38137;37
38395;38152;37
38404;38147;37
38403;38145;37
38416;38133;37
38417;38141;37.05555556
38431;38144;37.05555556
38428;38156;37.11111111
38418;38150;37.11111111
38434;38150;37.11111111
38447;38156;37.16666667
38450;38143;37.22222222
38463;38157;37.22222222
38463;38145;36.22222222
38476;38177;36.22222222
38497;38171;36.33333333
38503;38166;36.44444444
38513;38168;36.5
38518;38167;36.55555556
38524;38184;36.55555556
38512;38165;36.55555556
38481;38131;36.61111111
38459;38117;36.61111111
38415;38094;36.61111111
38357;38065;36.66666667
38304;38037;36.66666667
38231;37999;36.66666667
38160;37978;36.88888889
38123;37949;36.94444444
38058;37926;36.94444444
38021;37916;37
37980;37904;37
37948;37881;37
37934;37860;36.77777778
37924;37863;36.77777778
37908;37861;36.77777778
