ir_level;red_level;temperature
39473;39269;36.77777778
39475;39269;36.77777778
39480;39270;36.83333333
39491;39261;36.83333333
39492;39277;36.88888889
39499;39277;36.88888889
39499;39284;36.88888889
39498;39271;36.94444444
39515;39257;36.94444444
39523;39292;37
39528;39286;37
39531;39282;37
39534;39284;36.77777778
39548;39290;36.77777778
39554;39276;36.77777778
39548;39293;36.83333333
39564;39291;37.33333333
39586;39285;37.38888889
39584;39302;37.44444444
39609;39295;37.5
39608;39288;35.77777778
39611;39291;35.94444444
39589;39282;36
39559;39252;36.22222222
39525;39231;36.22222222
39475;39194;36.33333333
39400;39154;36.44444444
39319;39128;36.61111111
39238;39097;36.61111111
39155;39043;36.61111111
39074;39014;36.55555556
39009;38966;36.55555556
38959;38965;36.61111111
38897;38950;36.61111111
38860;38908;36.61111111
38824;38905;36.66666667
38787;38881;36.66666667
38770;38884;36.66666667
38760;38868;36.88888889
38742;38858;36.94444444
38725;38850;36.94444444
38711;38834;37
38708;38836;36.94444444
38710;38825;37
38698;38818;36.61111111
38683;38824;36.61111111
38680;38836;36.83333333
38658;38844;36.88888889
38674;38839;36.88888889
38685;38836;36.88888889
38703;38841;36.94444444
38708;38837;36.94444444
38730;38838;37
38732;38844;37.27777778
38749;38873;37.33333333
38745;38855;36.83333333
38734;38862;36.88888889
38740;38839;36.88888889
38754;38839;36.88888889
38755;38844;36.94444444
38743;38834;36.94444444
38756;38822;37
38751;38831;37
38739;38828;36.83333333
38740;38820;36.88888889
38742;38814;36.88888889
38737;38818;36.88888889
38727;38826;36.94444444
38734;38815;36.94444444
38742;38812;37
38730;38823;37
38752;38821;37
38759;38830;37
38775;38806;37
38777;38832;37
38778;38828;37.05555556
38796;38817;37.05555556
38793;38818;37.11111111
38812;38839;37.11111111
38822;38843;37.11111111
