ir_level;red_level;temperature
38261;38469;37
38286;38476;37
38276;38481;37.05555556
38298;38480;37.05555556
38321;38481;37.11111111
38343;38489;37.11111111
38354;38508;37.11111111
38354;38525;37.16666667
38372;38508;37.22222222
38386;38503;37.22222222
38387;38515;37.22222222
38408;38522;37.27777778
38418;38536;37.33333333
38442;38547;37.38888889
38461;38545;37.44444444
38468;38534;37.5
38478;38548;35.77777778
38496;38559;35.94444444
38516;38559;36
38539;38572;36.22222222
38538;38573;36.55555556
38536;38572;36.55555556
38555;38591;36.61111111
38553;38578;36.61111111
38589;38577;36.61111111
38605;38581;36.66666667
38604;38575;36.66666667
38625;38590;36.66666667
38625;38601;36.88888889
38638;38606;36.94444444
38657;38596;36.94444444
38665;38599;37
38656;38616;37
38678;38614;37
38720;38611;35.77777778
38710;38634;35.94444444
38734;38631;36
38738;38638;36.22222222
38732;38639;36.22222222
38739;38616;36.33333333
38729;38618;36.44444444
38701;38592;36.61111111
38650;38545;36.61111111
38591;38530;36.61111111
38536;38477;36.88888889
38446;38447;36.88888889
38377;38407;36.88888889
38323;38379;36.94444444
38250;38360;36.94444444
38204;38333;37
38166;38319;37.27777778
38128;38306;37.33333333
38102;38293;36.55555556
38084;38290;36.55555556
38067;38265;36.61111111
38041;38246;36.61111111
38014;38240;36.61111111
38016;38243;36.66666667
38010;38234;36.66666667
37989;38215;36.66666667
37982;38223;36.55555556
37991;38219;36.55555556
37989;38217;36.61111111
37978;38233;36.61111111
37988;38218;36.61111111
37997;38226;36.66666667
38022;38226;36.66666667
38033;38235;36.66666667
38035;38241;36.88888889
38065;38263;36.94444444
38073;38258;36.94444444
38089;38270;37
38095;38270;37
38105;38281;37
38123;38270;36.77777778
38125;38279;36.77777778
38138;38262;36.77777778
38133;38268;36.83333333
38133;38269;37.33333333
38122;38267;36.83333333
38127;38268;37.33333333
