ir_level;red_level;temperature
38201;38462;35.77777778
38218;38453;35.94444444
38222;38453;36
38247;38469;36.22222222
38261;38469;36.22222222
38286;38476;36.33333333
38276;38481;36.44444444
38298;38480;36.61111111
38321;38481;36.22222222
38343;38489;36.22222222
38354;38508;36.33333333
38354;38525;36.44444444
38372;38508;36.5
38386;38503;36.55555556
38387;38515;36.55555556
38408;38522;36.55555556
38418;38536;36.61111111
38442;38547;36.61111111
38461;38545;36.61111111
38468;38534;36.66666667
38478;38548;36.66666667
38496;38559;36.66666667
38516;38559;36.88888889
38539;38572;36.94444444
38538;38573;36.94444444
38536;38572;37
38555;38591;36.77777778
38553;38578;36.77777778
38589;38577;36.83333333
38605;38581;36.83333333
38604;38575;36.88888889
38625;38590;36.88888889
38625;38601;36.88888889
38638;38606;36.94444444
38657;38596;36.94444444
38665;38599;37
38656;38616;37
38678;38614;37
38720;38611;37
38710;38634;37
38734;38631;37
38738;38638;37.05555556
38732;38639;37.05555556
38739;38616;37.11111111
38729;38618;37.22222222
38701;38592;37.27777778
38650;38545;37.33333333
38591;38530;37.38888889
38536;38477;37.44444444
38446;38447;37.5
38377;38407;35.77777778
38323;38379;35.94444444
38250;38360;36
38204;38333;36.22222222
38166;38319;36.22222222
38128;38306;36.61111111
38102;38293;36.61111111
38084;38290;36.66666667
38067;38265;36.66666667
38041;38246;36.66666667
38014;38240;36.88888889
38016;38243;36.94444444
38010;38234;36.94444444
37989;38215;37
37982;38223;37
37991;38219;37
37989;38217;36.77777778
37978;38233;36.77777778
37988;38218;36.77777778
37997;38226;36.83333333
38022;38226;37.33333333
38033;38235;37.38888889
38035;38241;36.83333333
38065;38263;37.33333333
38073;38258;37.38888889
38089;38270;37.44444444
38095;38270;37.5
38105;38281;35.77777778
38123;38270;36.88888889
38125;38279;36.88888889
