ir_level;red_level;temperature
38853;38847;36.83333333
38844;38841;36.88888889
38866;38852;36.88888889
38879;38861;36.88888889
38885;38854;36.94444444
38891;38867;36.94444444
38910;38848;37
38907;38880;37
38929;38847;37
38941;38870;37
38953;38870;37.22222222
38966;38875;37.22222222
38976;38874;37.27777778
38985;38883;37.33333333
38996;38878;37.38888889
38993;38886;37.44444444
39009;38867;37.5
39018;38888;35.77777778
39021;38897;35.94444444
39025;38897;36
39044;38881;36.22222222
39038;38884;36.22222222
39054;38888;36.33333333
39056;38884;36.44444444
39070;38894;36.5
39099;38914;36.55555556
39088;38907;36.55555556
39098;38913;36.55555556
39095;38908;36.61111111
39098;38910;36.61111111
39114;38897;36.61111111
39085;38906;36.61111111
39072;38897;36.61111111
39002;38867;36.77777778
38952;38833;36.77777778
38875;38795;36.83333333
38801;38742;37.33333333
38686;38716;37.38888889
38597;38654;37.44444444
38488;38623;37.5
38394;38576;35.77777778
38321;38535;35.94444444
38240;38498;36
38174;38485;36.22222222
38114;38451;36.22222222
38096;38427;36.33333333
38047;38427;36.44444444
38013;38418;36.61111111
37994;38398;35.94444444
37991;38391;36
37976;38401;36.22222222
37966;38390;36.22222222
37944;38374;36.33333333
37954;38369;36.44444444
37931;38380;36.61111111
37934;38356;36.61111111
37927;38365;36.61111111
37947;38373;36.83333333
37974;38381;36.88888889
37994;38381;36.55555556
38001;38393;36.61111111
38037;38399;36.61111111
38072;38412;36.61111111
38101;38424;36.66666667
38115;38432;36.66666667
38141;38432;36.66666667
38142;38442;36.88888889
38160;38450;36.94444444
38183;38454;36.94444444
38170;38453;37
38176;38455;37
38176;38451;35.77777778
38185;38452;35.77777778
38188;38440;35.94444444
38185;38449;36
38173;38439;36.22222222
38172;38434;36.22222222
38173;38439;36.33333333
38193;38449;36.44444444
38194;38442;36.61111111
