ir_level;red_level;temperature
40164;39722;37.33333333
40172;39728;37.38888889
40156;39724;37.44444444
40166;39724;37.72222222
40153;39729;37.77777778
40169;39723;38.22222222
40154;39727;37.05555556
40165;39711;37.05555556
40186;39725;36.88888889
40180;39737;36.94444444
40190;39716;36.94444444
40206;39731;37
40207;39726;37
40201;39721;37
40205;39721;37.11111111
40193;39680;37.16666667
40139;39675;37.22222222
40090;39656;37.11111111
40040;39606;37.16666667
39945;39581;37.22222222
39870;39543;37.22222222
39785;39512;36.55555556
39690;39475;36.55555556
39625;39422;36.55555556
39559;39406;36.61111111
39490;39362;36.61111111
39446;39349;36.61111111
39405;39316;36.66666667
39376;39326;36.66666667
39364;39313;36.83333333
39336;39287;37.11111111
39313;39274;37.11111111
39294;39278;37.16666667
39295;39265;37.22222222
39294;39273;37.22222222
39296;39249;36.55555556
39282;39258;36.55555556
39269;39268;36.55555556
39271;39262;36.61111111
39276;39245;36.61111111
39295;39256;36.61111111
39295;39253;36.66666667
39319;39270;36.66666667
39316;39265;36.66666667
39322;39270;36.66666667
39322;39270;36.66666667
39348;39282;37.33333333
39336;39268;37.38888889
39352;39269;37.44444444
39358;39257;37.72222222
39357;39263;37.77777778
39359;39260;38.22222222
39354;39259;37.05555556
39364;39258;37.05555556
39370;39275;36.88888889
39370;39258;36.94444444
39358;39267;36.94444444
39344;39248;37
39343;39246;37
39331;39255;37.33333333
39338;39245;37.38888889
39323;39258;37.44444444
39324;39260;37.72222222
39334;39243;37.77777778
39334;39229;38.22222222
39338;39247;37.05555556
39338;39238;37.05555556
39351;39231;36.88888889
39373;39231;36.94444444
39375;39255;36.94444444
39379;39249;37
39388;39246;37
39395;39246;36.94444444
39414;39251;37
39416;39264;37
39445;39264;37
39434;39283;37.11111111
39441;39253;37.16666667
39460;39252;37.22222222
